community_area,community_name,hardship_index,crime_count,arrest_rate
1,Rogers Park,39.0,28098,0.27916577692362443
2,West Ridge,46.0,24057,0.1836887392442948
3,Uptown,20.0,26025,0.2862632084534102
4,Lincoln Square,17.0,12641,0.18250138438414681
5,North Center,6.0,10957,0.14702929634023912
6,Lake View,5.0,38669,0.17070521606454783
7,Lincoln Park,2.0,29037,0.12249888073836829
8,Near North Side,1.0,59928,0.25176878921372314
9,Edison Park,8.0,1857,0.1351642434033387
10,Norwood Park,21.0,8084,0.14275111331024246
11,Jefferson Park,25.0,7398,0.16261151662611517
12,Forest Glen,11.0,3455,0.12272069464544139
13,North Park,33.0,6244,0.18177450352338245
14,Albany Park,53.0,17001,0.25622022233986236
15,Portage Park,35.0,24233,0.22465233359468492
16,Irving Park,34.0,22365,0.19964229823384752
17,Dunning,28.0,12086,0.15414529207347344
18,Montclaire,50.0,4648,0.1561962134251291
19,Belmont Cragin,70.0,37240,0.26106337271750807
20,Hermosa,71.0,11498,0.2637850060880153
21,Avondale,42.0,18230,0.21431705979155238
22,Logan Square,23.0,39938,0.20103660674044768
23,Humboldt park,85.0,60267,0.38621467801616144
24,West Town,10.0,55727,0.1872521398962801
25,Austin,73.0,121730,0.406514417152715
26,West Garfield Park,92.0,33177,0.42598788317207703
27,East Garfield Park,83.0,34676,0.3859153304879456
28,Near West Side,15.0,50873,0.24244687751852653
29,North Lawndale,87.0,53123,0.3634772132597933
30,South Lawndale,96.0,31805,0.2961798459361736
31,Lower West Side,76.0,17971,0.29074620221467923
32,Loop,3.0,40034,0.2653994105010741
33,Near South Side,7.0,11771,0.24908673859485175
34,Armour Square,82.0,6946,0.24057011229484596
35,Douglas,47.0,15827,0.297719087635054
36,Oakland,78.0,4247,0.20296680009418414
37,Fuller Park,97.0,6195,0.3619047619047619
38,Grand Boulevard,57.0,24256,0.2794772427440633
39,Kenwood,26.0,10827,0.18823312090145009
40,Washington Park,88.0,20013,0.31634437615549893
41,Hyde Park,14.0,10670,0.15463917525773196
42,Woodlawn,58.0,31638,0.3241987483406031
43,South Shore,55.0,63371,0.25169241451136953
44,Chatham,60.0,39673,0.26839412194691603
45,Avalon Park,41.0,9950,0.18532663316582915
46,South Chicago,75.0,35726,0.2653529642277333
47,Burnside,79.0,2808,0.21652421652421652
48,Calumet Heights,38.0,10658,0.17188966034903358
49,Roseland,52.0,52958,0.28084519808149855
50,Pullman,51.0,7025,0.21252669039145908
51,South Deering,65.0,12705,0.21393152302243212
52,East Side,64.0,9744,0.201252052545156
53,West Pullman,62.0,31557,0.24631618975187755
54,Riverdale,98.0,7317,0.22509225092250923
55,Hegewisch,44.0,4122,0.20329936923823386
56,Garfield Ridge,32.0,14556,0.26009892827699915
57,Archer Heights,67.0,7077,0.2075738307192313
58,Brighton Park,84.0,18524,0.25129561649751675
59,McKinley Park,61.0,7809,0.2685363042643104
60,Bridgeport,43.0,12147,0.19420433028731374
61,New City,91.0,39493,0.34953029650824197
62,West Elsdon,69.0,7606,0.19103339468840388
63,Gage Park,93.0,18870,0.27546369899311074
64,Clearing,29.0,7595,0.17919684002633313
65,West Lawn,56.0,14281,0.2310762551642042
66,Chicago Lawn,80.0,50822,0.2992798394396128
67,West Englewood,89.0,57127,0.2943966950828855
68,Englewood,94.0,51764,0.2748435205934626
69,Greater Grand Crossing,66.0,47246,0.2825636032680015
70,Ashburn,37.0,17509,0.18133531326746244
71,Auburn Gresham,74.0,55034,0.29287349638405347
72,Beverly,12.0,6801,0.14394941920305837
73,Washington Height,48.0,22429,0.23005929822997012
74,Mount Greenwood,16.0,4193,0.16265203911280707
75,Morgan Park,30.0,15626,0.23256111608857033
76,O'Hare,24.0,10163,0.20732067302961724
77,Edgewater,19.0,18081,0.21348376749073614
