community_area,community_name,crime_count,crime_share,centroid_latitude,centroid_longitude,hardship_index
25,Austin,120692,0.06481889249554777,41.891667321142016,-87.75868097183671,73.0
43,South Shore,62901,0.033781635542226914,41.76192172562905,-87.57349349724423,55.0
23,Humboldt park,59659,0.03204048576038084,41.90089418353718,-87.72032888604235,85.0
8,Near North Side,59481,0.031944889011099965,41.898390389565904,-87.63176630217568,1.0
67,West Englewood,56731,0.03046797294074935,41.77684836651151,-87.66558999658669,89.0
24,West Town,55270,0.02968332771210126,41.90233136056756,-87.6773232966551,10.0
71,Auburn Gresham,54497,0.029268180031235432,41.746323610351354,-87.65566872140212,74.0
49,Roseland,52396,0.028139816153487564,41.70356033648003,-87.62436470691442,52.0
29,North Lawndale,52363,0.028122093160643357,41.861124212452225,-87.71674075051143,87.0
68,Englewood,51402,0.027605978126604466,41.776246963518005,-87.64414512068025,94.0
28,Near West Side,50492,0.027117253172415718,41.87596696181224,-87.66310429126523,15.0
66,Chicago Lawn,50463,0.027101678421128386,41.7746530312275,-87.69229598837647,80.0
69,Greater Grand Crossing,46901,0.025188669314732424,41.762971154791195,-87.61735275113372,66.0
32,Loop,39768,0.02135781755843754,41.880203023580926,-87.62807446161733,3.0
22,Logan Square,39541,0.021235904850084964,41.92227703824002,-87.70139527665835,23.0
44,Chatham,39289,0.021100565632001925,41.74305031330826,-87.61265348502708,60.0
61,New City,39184,0.02104417429113399,41.803881975140115,-87.66154562051561,91.0
6,Lake View,38398,0.020622044825208324,41.943582672208784,-87.65439941220902,5.0
19,Belmont Cragin,36876,0.019804638912817914,41.92711819342929,-87.76424160653731,70.0
46,South Chicago,35489,0.019059736152971987,41.74207831979214,-87.55674211763032,75.0
27,East Garfield Park,34356,0.01845124673198753,41.87835254855329,-87.7049575523557,83.0
26,West Garfield Park,32887,0.017662305020225696,41.87877772991583,-87.72932578769652,92.0
30,South Lawndale,31510,0.016922772864271952,41.8453057975097,-87.71169480075702,96.0
42,Woodlawn,31397,0.01686208504029027,41.77861060666534,-87.60399789272743,58.0
53,West Pullman,31243,0.016779377740350637,41.67613489180947,-87.63302761066787,62.0
7,Lincoln Park,28812,0.015473783934160693,41.92277653237147,-87.65023418757694,2.0
1,Rogers Park,27873,0.01496948422868461,42.01176862037871,-87.67056072435913,39.0
