weather_date,crime_count,average_temperature_f,reported_precipitation_inches,average_relative_humidity,average_wind_speed_mph,has_reported_weather_event,has_precipitation,has_rain,has_snow,has_thunderstorm
2008-01-01,1817,18.48998015873016,0.018,79.02519841269842,15.503273809523806,1,1,0,1,0
2008-01-02,919,10.059027777777777,0.008,70.95486111111111,9.57986111111111,1,1,0,1,0
2008-01-03,916,12.6875,0.001,73.0625,10.375,1,1,0,0,0
2008-01-04,1099,29.166666666666668,0.0,64.95833333333333,13.104166666666666,0,0,0,0,0
2008-01-05,1183,39.895833333333336,0.023,83.69583333333334,13.091666666666667,1,1,1,0,0
2008-01-06,1157,53.354166666666664,0.007,89.20833333333333,12.788194444444443,1,1,1,0,0
2008-01-07,1149,58.743055555555564,0.425,86.89583333333333,14.375,1,1,1,0,1
2008-01-08,1148,49.81805555555556,1.6089999999999998,92.27926587301589,11.25734126984127,1,1,1,1,1
2008-01-09,1204,35.40972222222222,0.0,78.25694444444444,8.020833333333334,1,0,0,0,0
2008-01-10,1217,38.15972222222222,0.243,80.4375,8.1875,1,1,1,1,0
2008-01-11,1316,34.21527777777778,0.008,83.125,11.104166666666666,1,1,1,1,0
2008-01-12,1202,34.5625,0.0,74.5,7.625,0,0,0,0,0
2008-01-13,1079,31.61111111111111,0.008,80.37847222222221,11.708333333333334,1,1,0,1,0
2008-01-14,1098,23.114583333333332,0.015000000000000001,75.75694444444444,13.222222222222221,1,1,0,1,0
2008-01-15,1200,20.506944444444446,0.0,69.94444444444444,7.590277777777778,0,0,0,0,0
2008-01-16,1161,30.520833333333332,0.0,62.395833333333336,10.4375,0,0,0,0,0
2008-01-17,1047,26.857142857142858,0.09000000000000001,79.81994047619048,15.294642857142856,1,1,0,1,0
2008-01-18,1113,17.27777777777778,0.011000000000000001,76.75,13.548611111111112,1,1,0,1,0
2008-01-19,976,1.0625,0.0,65.22916666666667,12.895833333333334,0,0,0,0,0
2008-01-20,915,3.2291666666666665,0.003,59.8125,9.791666666666666,0,1,0,0,0
2008-01-21,937,19.11388888888889,0.059000000000000004,64.02896825396824,7.622619047619048,1,1,0,1,0
2008-01-22,963,18.897321428571427,0.103,73.10515873015872,13.776785714285715,1,1,0,1,0
2008-01-23,954,11.512500000000001,0.021000000000000005,74.26488095238095,7.992559523809523,1,1,0,1,0
2008-01-24,979,3.1041666666666665,0.001,57.520833333333336,10.354166666666666,0,1,0,0,0
2008-01-25,955,9.639880952380953,0.044,66.58630952380952,7.468253968253968,1,1,0,1,0
2008-01-26,1002,24.253472222222218,0.034,76.23680555555556,10.447222222222223,1,1,0,1,0
2008-01-27,924,24.458333333333332,0.0,74.20833333333333,5.645833333333333,1,0,0,0,0
2008-01-28,1085,39.75,0.046,61.791666666666664,16.75,1,1,1,0,0
2008-01-29,965,36.65820105820106,0.109,86.22857142857144,17.476984126984128,1,1,1,1,0
2008-01-30,856,6.277777777777779,0.0,62.875,14.569444444444445,1,0,0,1,0
2008-01-31,855,20.536111111111108,0.062,76.59861111111111,11.03402777777778,1,1,0,1,0
2008-02-01,1186,28.129861111111115,0.08400000000000002,83.06875000000001,11.280555555555557,1,1,0,1,0
2008-02-02,952,27.625,0.002,82.10416666666667,7.833333333333333,1,1,0,0,0
2008-02-03,849,28.67013888888889,0.17700000000000002,86.85069444444444,7.09375,1,1,1,1,0
2008-02-04,969,36.46805555555556,0.099,96.99444444444445,6.922222222222223,1,1,1,0,0
2008-02-05,953,35.364583333333336,0.19199999999999998,90.28422619047619,12.938988095238095,1,1,1,1,0
2008-02-06,920,32.34513888888889,0.43600000000000005,94.48819444444445,19.056250000000002,1,1,1,1,0
2008-02-07,1012,26.63888888888889,0.012,81.36805555555556,6.875,1,1,0,1,0
2008-02-08,1176,32.71527777777778,0.13,83.80555555555556,8.569444444444445,1,1,1,1,0
2008-02-09,988,29.663194444444443,0.005,76.58333333333333,15.802083333333334,1,1,0,1,0
