season,weather_condition,day_count,average_daily_crime_count,crime_count_standard_deviation
autumn,no event,245,1042.795918367347,144.48928991902756
autumn,rain,201,1025.7960199004974,124.85348687193171
autumn,snow,9,993.0,168.98742556770304
spring,no event,225,1053.088888888889,126.20342532392716
spring,rain,208,1054.3461538461538,127.32417215930957
spring,snow,27,949.4444444444445,113.8427840804128
summer,no event,215,1122.2232558139535,112.0855248334976
summer,rain,245,1122.3836734693878,121.14163121866574
winter,no event,187,898.5882352941177,138.82140793734865
winter,rain,62,977.1290322580645,147.2121791859881
winter,snow,203,893.2857142857143,152.24168885233453
