day_type,hour,crime_count
weekday,0,303164
weekday,1,149000
weekday,2,119162
weekday,3,92833
weekday,4,71700
weekday,5,67255
weekday,6,91063
weekday,7,141250
weekday,8,210999
weekday,9,260741
weekday,10,247011
weekday,11,256382
weekday,12,334575
weekday,13,276145
weekday,14,294662
weekday,15,311556
weekday,16,291338
weekday,17,295404
weekday,18,314092
weekday,19,321717
weekday,20,317458
weekday,21,305432
weekday,22,296550
weekday,23,241546
weekend,0,141108
weekend,1,97808
weekend,2,88731
weekend,3,75728
weekend,4,56241
weekend,5,39585
weekend,6,33550
weekend,7,36620
weekend,8,52433
weekend,9,75726
weekend,10,82958
weekend,11,88820
weekend,12,112324
weekend,13,93408
weekend,14,97806
weekend,15,102822
weekend,16,101676
weekend,17,104452
weekend,18,111464
weekend,19,116785
weekend,20,119505
weekend,21,118429
weekend,22,120358
weekend,23,105292
