cluster,district,incident_count,cluster_share
0,6,451215,0.1264
0,7,446403,0.1251
0,4,438177,0.1228
0,3,391069,0.1096
0,2,363748,0.1019
0,5,339898,0.0952
0,9,300921,0.0843
0,8,295668,0.0829
0,1,252761,0.0708
0,22,252048,0.0706
0,18,24629,0.0069
0,12,11887,0.0033
0,31,45,0.0
0,,22,0.0
0,19,11,0.0
0,24,5,0.0
0,10,4,0.0
0,20,4,0.0
0,21,4,0.0
0,11,2,0.0
0,16,1,0.0
0,17,1,0.0
0,15,1,0.0
1,11,492761,0.1193
1,25,438188,0.1061
1,12,368746,0.0893
1,19,345043,0.0836
1,10,332173,0.0804
1,15,330605,0.0801
1,18,320025,0.0775
1,14,297654,0.0721
1,16,256815,0.0622
1,24,232403,0.0563
1,8,222759,0.0539
1,17,222373,0.0539
1,20,136067,0.033
1,9,75815,0.0184
1,1,57520,0.0139
1,31,189,0.0
1,,25,0.0
1,6,4,0.0
1,2,3,0.0
1,22,3,0.0
1,4,1,0.0
1,7,1,0.0
1,5,1,0.0
