seed,k,silhouette_score,training_cost,minimum_cluster_size,maximum_cluster_size,average_dominant_district_share
42,2,0.4961928506718677,29473.59977255455,7187,8355,0.12484527011459366
123,2,0.4967894062981018,29476.33251979695,6952,8590,0.12536140050986574
2026,2,0.49619082951358023,29473.60562823233,7188,8354,0.12484357657783322
42,3,0.4900254415405837,22350.365135219912,3737,6078,0.12561131228195965
123,3,0.48928989660901195,22344.488000042387,3729,6073,0.12564116451953297
2026,3,0.48930410545674563,22343.529290736915,3732,6058,0.12583544706853447
42,4,0.4423267999896757,18450.282920420974,2677,4829,0.12807907472604038
123,4,0.4415700638891832,18444.16397636193,3053,5181,0.13061054076430037
2026,4,0.4425083068217312,18449.2107814764,2658,4829,0.1278158184397904
42,5,0.3972037798581423,16946.460549949497,2110,4424,0.17098469299663607
123,5,0.4429026633126358,16295.516110714887,2369,4229,0.16832542926765107
2026,5,0.4029440685547916,16672.634369246618,2150,4403,0.1998399732495409
42,6,0.4371828824282784,13808.681417289965,2195,2976,0.21364154623408424
123,6,0.4249294362426159,14251.53739499944,1588,3708,0.17996506193584808
2026,6,0.4371919970242959,13807.940238965333,2202,2977,0.2139375544945843
