primary_type,count,type_share
THEFT,1500835,0.2116
BATTERY,1300008,0.1833
CRIMINAL DAMAGE,812084,0.1145
NARCOTICS,669153,0.0943
ASSAULT,465894,0.0657
OTHER OFFENSE,440343,0.0621
BURGLARY,390442,0.055
MOTOR VEHICLE THEFT,339756,0.0479
DECEPTIVE PRACTICE,308972,0.0436
ROBBERY,267998,0.0378
CRIMINAL TRESPASS,196281,0.0277
WEAPONS VIOLATION,100466,0.0142
PROSTITUTION,61349,0.0086
OFFENSE INVOLVING CHILDREN,49458,0.007
PUBLIC PEACE VIOLATION,48729,0.0069
SEX OFFENSE,26320,0.0037
CRIM SEXUAL ASSAULT,24122,0.0034
INTERFERENCE WITH PUBLIC OFFICER,17823,0.0025
GAMBLING,13405,0.0019
LIQUOR LAW VIOLATION,12785,0.0018
HOMICIDE,12167,0.0017
ARSON,11864,0.0017
KIDNAPPING,6006,0.0008
CRIMINAL SEXUAL ASSAULT,5881,0.0008
STALKING,4432,0.0006
INTIMIDATION,4272,0.0006
CONCEALED CARRY LICENSE VIOLATION,1077,0.0002
OBSCENITY,750,0.0001
PUBLIC INDECENCY,182,0.0
NON-CRIMINAL,172,0.0
OTHER NARCOTIC VIOLATION,136,0.0
HUMAN TRAFFICKING,91,0.0
NON - CRIMINAL,38,0.0
RITUALISM,15,0.0
NON-CRIMINAL (SUBJECT SPECIFIED),9,0.0
